date,competition,home_team,score,away_team,venue
2025-06-06,2026 FIFA World Cup qualification,Colombia,0-0,Peru,"Estadio Metropolitano, Barranquilla"
2025-06-10,2026 FIFA World Cup qualification,Argentina,1-1,Colombia,"Estadio Monumental, Buenos Aires"
2025-09-04,2026 FIFA World Cup qualification,Colombia,3-0,Bolivia,"Estadio Metropolitano Roberto Meléndez, Barranquilla"
2025-09-09,2026 FIFA World Cup qualification,Venezuela,3-6,Colombia,"Estadio Monumental, Maturín"
2025-10-11,Friendly,Colombia,4-0,Mexico,"AT&T Stadium, Arlington"
2025-10-14,Friendly,Colombia,0-0,Canada,"Sports Illustrated Stadium, Harrison"
2025-11-15,Friendly,Colombia,2-1,New Zealand,"Chase Stadium, Fort Lauderdale"
2025-11-18,Friendly,Colombia,3-0,Australia,"Citi Field, New York"
2026-03-26,Friendly,Colombia,1-2,Croatia,"Camping World Stadium, Orlando"
2026-03-29,Friendly,Colombia,1-3,France,"Northwest Stadium, Landover"
