date,competition,home_team,score,home_score,away_score,away_team,venue,result
2025-06-07,2026 FIFA World Cup qualification,Andorra,0-1,0,1,England,"Barcelona, Spain",England
2025-06-07,2026 FIFA World Cup qualification,Austria,2-1,2,1,Romania,"Vienna, Austria",Austria
2025-06-07,2026 FIFA World Cup qualification,Belize,0-2,0,2,Panama,"Belmopan, Belize",Panama
2025-06-07,2026 FIFA World Cup qualification,Bosnia and Herzegovina,1-0,1,0,San Marino,"Zenica, Bosnia and Herzegovina",Bosnia and Herzegovina
2025-06-07,2026 FIFA World Cup qualification,Finland,0-2,0,2,Netherlands,"Helsinki, Finland",Netherlands
2025-06-09,2026 FIFA World Cup qualification,Estonia,0-1,0,1,Norway,"Tallinn, Estonia",Norway
2025-06-09,2026 FIFA World Cup qualification,Belgium,4-3,4,3,Wales,"Brussels, Belgium",Belgium
2025-06-09,2026 FIFA World Cup qualification,Croatia,5-1,5,1,Czech Republic,"Osijek, Croatia",Croatia
2025-06-10,2027 FIFA World Cup qualification,South Korea,4-0,4,0,Kuwait,"Seoul, South Korea",South Korea
2025-06-10,2026 FIFA World Cup qualification,Argentina,1-1,1,1,Colombia,"Estadio Monumental, Buenos Aires",Draw
2025-06-10,2026 FIFA World Cup qualification,Brazil,1-0,1,0,Paraguay,"Neo Quimica Arena, Sao Paulo",Brazil
2025-06-10,2026 FIFA World Cup qualification,Haiti,1-5,1,5,Curacao,"Trinidad Stadium, Oranjestad",Curacao
2025-06-10,2027 FIFA World Cup qualification,Jordan,0-1,0,1,Iraq,"Amman, Jordan",Iraq
2025-06-10,2028 FIFA World Cup qualification,Peru,0-0,0,0,Ecuador,"Estadio Nacional, Lima",Draw
2025-06-10,2029 FIFA World Cup qualification,Iran,3-0,3,0,North Korea,"Azadi Stadium, Tehran",Iran
2025-06-10,2030 FIFA World Cup qualification,Uzbekistan,3-0,3,0,Qatar,"Tashkent, Uzbekistan",Uzbekistan
2025-06-10,2031 FIFA World Cup qualification,Saudi Arabia,1-2,1,2,Australia,"Jeddah, Saudi Arabia",Australia
2025-06-10,2026 FIFA World Cup qualification,Netherlands,8-0,8,0,Malta,"Groningen, Netherlands",Netherlands
2025-06-10,2026 FIFA World Cup qualification,Panama,3-0,3,0,Nicaragua,"Panama City, Panama",Panama
2025-06-10,2026 FIFA World Cup qualification,San Marino,0-4,0,4,Austria,"Serravalle, San Marino",Austria
2025-06-10,2026 FIFA World Cup qualification,Uruguay,2-0,2,0,Venezuela,"Montevideo, Uruguay",Uruguay
2025-06-10,2027 FIFA World Cup qualification,Japan,6-0,6,0,Indonesia,"Suita, Japan",Japan
2025-09-04,2026 FIFA World Cup qualification,Mauritius,0-2,0,2,Cape Verde,"Saint Pierre, Mauritius",Cape Verde
2025-09-04,2026 FIFA World Cup qualification,Algeria,3-1,3,1,Botswana,"Tizi Ouzou, Algeria",Algeria
2025-09-04,2026 FIFA World Cup qualification,Argentina,3-0,3,0,Venezuela,"Estadio Monumental, Buenos Aires",Argentina
2025-09-04,2026 FIFA World Cup qualification,Brazil,3-0,3,0,Chile,"Maracana, Rio de Janeiro",Brazil
2025-09-04,2026 FIFA World Cup qualification,Colombia,3-0,3,0,Bolivia,"Estadio Metropolitano Roberto Melendez, Barranquilla",Colombia
2025-09-04,2026 FIFA World Cup qualification,Paraguay,0-0,0,0,Ecuador,"Estadio Defensores del Chaco, Asuncion",Draw
2025-09-04,2026 FIFA World Cup qualification,Paraguay,0-0,0,0,Paraguay,"Estadio Defensores del Chaco, Asuncion",Draw
2025-09-04,2026 FIFA World Cup qualification,Tunisia,3-0,3,0,Liberia,"Tunis, Tunisia",Tunisia
2025-09-04,2026 FIFA World Cup qualification,Bulgaria,0-3,0,3,Spain,"Sofia, Bulgaria",Spain
2025-09-04,2026 FIFA World Cup qualification,Liechtenstein,0-6,0,6,Belgium,"Vaduz, Liechtenstein",Belgium
2025-09-04,2026 FIFA World Cup qualification,Slovakia,2-0,2,0,Germany,"Bratislava, Slovakia",Slovakia
2025-09-04,2026 FIFA World Cup qualification,Chad,1-1,1,1,Ghana,"N'Djamena, Chad",Draw
2025-09-04,2026 FIFA World Cup qualification,Georgia,2-3,2,3,Turkey,"Tbilisi, Georgia",Turkey
2025-09-04,2026 FIFA World Cup qualification,Netherlands,1-1,1,1,Poland,"Rotterdam, Netherlands",Draw
2025-09-04,2026 FIFA World Cup qualification,Suriname,0-0,0,0,Panama,"Paramaribo, Suriname",Draw
2025-09-04,2026 FIFA World Cup qualification,Uruguay,3-0,3,0,Peru,"Montevideo, Uruguay",Uruguay
2025-09-05,2026 FIFA World Cup qualification,Ivory Coast,1-0,1,0,Burundi,"Abidjan, Ivory Coast",Ivory Coast
