date,competition,home_team,score,home_score,away_score,away_team,venue,result
2023-09-07,2026 FIFA World Cup qualification,Argentina,1-0,1,0,Ecuador,"Estadio Monumental, Buenos Aires",Argentina
2023-09-07,2026 FIFA World Cup qualification,Colombia,1-0,1,0,Venezuela,"Estadio Metropolitano, Barranquilla",Colombia
2023-09-07,2026 FIFA World Cup qualification,Paraguay,0-0,0,0,Peru,"Estadio Antonio Aranda, Ciudad del Este",Draw
2023-09-08,2026 FIFA World Cup qualification,Brazil,5-1,5,1,Bolivia,"Estadio Olimpico do Para, Belem",Brazil
2023-09-08,2026 FIFA World Cup qualification,Uruguay,3-1,3,1,Chile,"Montevideo, Uruguay",Uruguay
2023-09-12,2026 FIFA World Cup qualification,Bolivia,0-3,0,3,Argentina,"Estadio Hernando Siles, La Paz",Argentina
2023-09-12,2026 FIFA World Cup qualification,Chile,0-0,0,0,Colombia,"Estadio Monumental David Arellano, Santiago",Draw
2023-09-12,2026 FIFA World Cup qualification,Ecuador,2-1,2,1,Uruguay,"Estadio Rodrigo Paz Delgado, Quito",Ecuador
2023-09-12,2026 FIFA World Cup qualification,Peru,0-1,0,1,Brazil,"Estadio Nacional, Lima",Brazil
2023-09-12,2026 FIFA World Cup qualification,Venezuela,1-0,1,0,Paraguay,"Estadio Monumental, Maturin",Venezuela
2023-10-12,2026 FIFA World Cup qualification,Argentina,1-0,1,0,Paraguay,"Estadio Monumental, Buenos Aires",Argentina
2023-10-12,2026 FIFA World Cup qualification,Bolivia,1-2,1,2,Ecuador,"Estadio Hernando Siles, La Paz",Ecuador
2023-10-12,2026 FIFA World Cup qualification,Brazil,1-1,1,1,Venezuela,"Arena Pantanal, Cuiaba",Draw
2023-10-12,2026 FIFA World Cup qualification,Colombia,2-2,2,2,Uruguay,"Estadio Metropolitano, Barranquilla",Draw
2023-10-15,2026 FIFA World Cup qualification,Uruguay,0-0,0,0,Ecuador,"Estadio Centenario, Montevideo",Draw
2023-10-17,2026 FIFA World Cup Qualification,Peru,0-2,0,2,Argentina,"Estadio Nacional, Lima",Argentina
2023-10-17,2026 FIFA World Cup qualification,Ecuador,0-0,0,0,Colombia,"Estadio Rodrigo Paz Delgado, Quito",Draw
2023-10-17,2026 FIFA World Cup qualification,Paraguay,1-0,1,0,Bolivia,"Estadio Defensores del Chaco, Asuncion",Paraguay
2023-10-17,2026 FIFA World Cup qualification,Uruguay,2-0,2,0,Brazil,"Montevideo, Uruguay",Uruguay
2023-11-15,2026 FIFA World Cup qualification,DR Congo,2-0,2,0,Mauritania,"Kinshasa, DR Congo",DR Congo
2023-11-16,2026 FIFA World Cup qualification,Algeria,3-1,3,1,Somalia,"Algiers, Algeria",Algeria
2023-11-16,2027 FIFA World Cup qualification,Japan,5-0,5,0,Myanmar,"Suita, Japan",Japan
2023-11-16,2026 FIFA World Cup qualification,South Korea,5-0,5,0,Singapore,"Seoul, South Korea",South Korea
2023-11-16,2026 FIFA World Cup Qualification,Argentina,0-2,0,2,Uruguay,"La Bombonera, Buenos Aires",Uruguay
2023-11-16,2026 FIFA World Cup qualification,Chile,0-0,0,0,Paraguay,"Estadio Monumental David Arellano, Santiago",Draw
2023-11-16,2026 FIFA World Cup qualification,Colombia,2-1,2,1,Brazil,"Estadio Metropolitano, Barranquilla",Colombia
2023-11-16,2026 FIFA World Cup qualification,Egypt,6-0,6,0,Djibouti,"Cairo, Egypt",Egypt
2023-11-16,2026 FIFA World Cup qualification,Iraq,5-1,5,1,Indonesia,"Basra, Iraq",Iraq
2023-11-16,2026 FIFA World Cup qualification,Venezuela,0-0,0,0,Ecuador,"Estadio Monumental, Maturin",Draw
2023-11-16,2026 FIFA World Cup qualification,Iran,4-0,4,0,Hong Kong,"Azadi Stadium, Tehran",Iran
2023-11-16,2026 FIFA World Cup qualification,Saudi Arabia,4-0,4,0,Pakistan,"Hofuf, Saudi Arabia",Saudi Arabia
2023-11-16,2027 FIFA World Cup qualification,Australia,7-0,7,0,Bangladesh,"Melbourne, Australia",Australia
2023-11-16,2028 FIFA World Cup qualification,Turkmenistan,1-3,1,3,Uzbekistan,"Ashgabat, Turkmenistan",Uzbekistan
2023-11-16,2026 FIFA World Cup qualification,Cape Verde,0-0,0,0,Angola,"Praia, Cape Verde",Draw
2023-11-16,2026 FIFA World Cup qualification,Tajikistan,1-1,1,1,Jordan,"Dushanbe, Tajikistan",Draw
2023-11-17,2026 FIFA World Cup qualification,Ivory Coast,9-0,9,0,Seychelles,"Abidjan, Ivory Coast",Ivory Coast
2023-11-17,2026 FIFA World Cup qualification,Tunisia,4-0,4,0,Sao Tome and Principe,"Tunis, Tunisia",Tunisia
2023-11-17,2026 FIFA World Cup qualification,Ghana,1-0,1,0,Madagascar,"Kumasi, Ghana",Ghana
2023-11-18,2026 FIFA World Cup qualification,South Africa,2-1,2,1,Benin,"Durban, South Africa",South Africa
2023-11-18,2026 FIFA World Cup qualification,Senegal,4-0,4,0,South Sudan,"Diamniadio, Senegal",Senegal
2023-11-19,2026 FIFA World Cup qualification,Mozambique,0-2,0,2,Algeria,"Maputo, Mozambique",Algeria
2023-11-19,2026 FIFA World Cup qualification,Sierra Leone,0-2,0,2,Egypt,"Paynesville, Liberia",Egypt
2023-11-19,2026 FIFA World Cup qualification,Sudan,1-0,1,0,DR Congo,"Benina, Libya",Sudan
2023-11-20,2026 FIFA World Cup qualification,Gambia,0-2,0,2,Ivory Coast,"Dar es Salaam, Tanzania",Ivory Coast
2023-11-21,2027 FIFA World Cup qualification,Syria,0-5,0,5,Japan,"Jeddah, Saudi Arabia",Japan
2023-11-21,2026 FIFA World Cup qualification,China,0-3,0,3,South Korea,"Shenzhen, China",South Korea
2023-11-21,2026 FIFA World Cup qualification,Brazil,0-1,0,1,Argentina,"Maracana Stadium, Rio de Janeiro",Argentina
2023-11-21,2026 FIFA World Cup qualification,Ecuador,1-0,1,0,Chile,"Estadio Rodrigo Paz Delgado, Quito",Ecuador
2023-11-21,2026 FIFA World Cup qualification,Malawi,0-1,0,1,Tunisia,"Lilongwe, Malawi",Tunisia
2023-11-21,2026 FIFA World Cup qualification,Paraguay,0-1,0,1,Colombia,"Estadio Defensores del Chaco, Asuncion",Colombia
2023-11-21,2026 FIFA World Cup qualification,Rwanda,2-0,2,0,South Africa,"Butare, Rwanda",Rwanda
2023-11-21,2026 FIFA World Cup qualification,Vietnam,0-1,0,1,Iraq,"Hanoi, Vietnam",Iraq
2023-11-21,2026 FIFA World Cup qualification,Uzbekistan,2-2,2,2,Iran,"Milliy Stadium, Tashkent",Draw
2023-11-21,2026 FIFA World Cup qualification,Jordan,0-2,0,2,Saudi Arabia,"Amman, Jordan",Saudi Arabia
2023-11-21,2026 FIFA World Cup qualification,Palestine,0-1,0,1,Australia,"Kuwait City, Kuwait",Australia
2023-11-21,2026 FIFA World Cup qualification,Comoros,1-0,1,0,Ghana,"Moroni, Comoros",Comoros
2023-11-21,2026 FIFA World Cup qualification,Eswatini,0-2,0,2,Cape Verde,"Mbombela, South Africa",Cape Verde
2023-11-21,2026 FIFA World Cup qualification,Tanzania,0-2,0,2,Morocco,"Dar es Salaam, Tanzania",Morocco
2023-11-21,2026 FIFA World Cup qualification,Togo,0-0,0,0,Senegal,"Lome, Togo",Draw
2023-11-21,2026 FIFA World Cup qualification,Uruguay,3-0,3,0,Bolivia,"Montevideo, Uruguay",Uruguay
2024-03-21,2027 FIFA World Cup qualification,Qatar,3-0,3,0,Kuwait,"Al Rayyan, Qatar",Qatar
2024-03-21,2028 FIFA World Cup qualification,South Korea,1-1,1,1,Thailand,"Seoul, South Korea",Draw
2024-03-21,2029 FIFA World Cup qualification,Iraq,1-0,1,0,Philippines,"Basra, Iraq",Iraq
2024-03-21,2030 FIFA World Cup qualification,Iran,5-0,5,0,Turkmenistan,"Azadi Stadium, Tehran",Iran
2024-03-21,2031 FIFA World Cup qualification,Hong Kong,0-2,0,2,Uzbekistan,"Mong Kok, Hong Kong",Uzbekistan
2024-03-21,2032 FIFA World Cup qualification,Australia,2-0,2,0,Lebanon,"Sydney, Australia",Australia
2024-03-21,2033 FIFA World Cup qualification,Japan,1-0,1,0,North Korea,"Tokyo, Japan",Japan
2024-03-21,2034 FIFA World Cup qualification,Saudi Arabia,1-0,1,0,Tajikistan,"Riyadh, Saudi Arabia",Saudi Arabia
2024-03-21,2035 FIFA World Cup qualification,Pakistan,0-3,0,3,Jordan,"Islamabad, Pakistan",Jordan
2024-03-26,2036 FIFA World Cup qualification,Kuwait,1-2,1,2,Qatar,"Farwaniya, Kuwait",Qatar
2024-03-26,2037 FIFA World Cup qualification,Thailand,0-3,0,3,South Korea,"Bangkok, Thailand",South Korea
2024-03-26,2038 FIFA World Cup qualification,Philippines,0-5,0,5,Iraq,"Manila, Philippines",Iraq
2024-03-26,2039 FIFA World Cup qualification,Turkmenistan,0-1,0,1,Iran,"Ashgabat Stadium, Ashgabat",Iran
2024-03-26,2040 FIFA World Cup qualification,Uzbekistan,3-0,3,0,Hong Kong,"Tashkent, Uzbekistan",Uzbekistan
2024-03-26,2041 FIFA World Cup qualification,Lebanon,0-5,0,5,Australia,"Canberra, Australia",Australia
2024-03-26,2042 FIFA World Cup qualification,North Korea,0-3,0,3,Japan,"Kim Il Sung Stadium, Pyongyang ",Japan
2024-03-26,2043 FIFA World Cup qualification,Tajikistan,1-1,1,1,Saudi Arabia,"Dushanbe, Tajikistan",Draw
2024-03-26,2044 FIFA World Cup qualification,Jordan,7-0,7,0,Pakistan,"Amman, Jordan",Jordan
2024-06-05,2045 FIFA World Cup qualification,Curacao,4-1,4,1,Barbados,"Willemstad, Curacao",Curacao
2024-06-05,2046 FIFA World Cup qualification,Tunisia,1-0,1,0,Equatorial Guinea,"Tunis, Tunisia",Tunisia
2024-06-06,2047 FIFA World Cup qualification,Senegal,1-1,1,1,DR Congo,"Diamniadio, Senegal",Draw
2024-06-06,2048 FIFA World Cup qualification,Algeria,1-2,1,2,Guinea,"Algiers, Algeria",Guinea
2024-06-06,2049 FIFA World Cup qualification,Afghanistan,0-0,0,0,Qatar,"Hofuf, Saudi Arabia",Draw
2024-06-06,2050 FIFA World Cup qualification,Singapore,0-7,0,7,South Korea,"Kallang, Singapore",South Korea
2024-06-06,2051 FIFA World Cup qualification,Egypt,2-1,2,1,Burkina Faso,"Cairo, Egypt",Egypt
2024-06-06,2052 FIFA World Cup qualification,Haiti,2-1,2,1,Saint Lucia,"Wildey Turf, Wildey",Haiti
2024-06-06,2053 FIFA World Cup qualification,Indonesia,0-2,0,2,Iraq,"Jakarta, Indonesia",Iraq
2024-06-06,2054 FIFA World Cup qualification,Hong Kong,2-4,2,4,Iran,"Hong Kong Stadium, Hong Kong",Iran
2024-06-06,2055 FIFA World Cup qualification,Uzbekistan,3-1,3,1,Turkmenistan,"Tashkent, Uzbekistan",Uzbekistan
2024-06-06,2056 FIFA World Cup qualification,Bangladesh,0-2,0,2,Australia,"Dhaka, Bangladesh",Australia
2024-06-06,2057 FIFA World Cup qualification,Mali,1-2,1,2,Ghana,"Bamako, Mali",Ghana
2024-06-06,2026 FIFA World Cup qualification,Myanmar,0-5,0,5,Japan,"Yangon, Myanmar",Japan
2024-06-06,2026 FIFA World Cup qualification,Pakistan,0-3,0,3,Saudi Arabia,"Islamabad, Pakistan",Saudi Arabia
2024-06-06,2026 FIFA World Cup qualification,Panama,2-0,2,0,Guyana,"Panama City, Panama",Panama
2024-06-06,2026 FIFA World Cup qualification,Jordan,3-0,3,0,Tajikistan,"Amman, Jordan",Jordan
2024-06-07,2026 FIFA World Cup qualification,Ivory Coast,1-0,1,0,Gabon,"Korhogo, Ivory Coast",Ivory Coast
2024-06-07,2026 FIFA World Cup qualification,Nigeria,1-1,1,1,South Africa,"Uyo, Nigeria",Draw
2024-06-07,2026 FIFA World Cup qualification,Morocco,2-1,2,1,Zambia,"Agadir, Morocco",Morocco
2024-06-08,2026 FIFA World Cup qualification,Aruba,0-2,0,2,Curacao,"Oranjestad, Aruba",Curacao
2024-06-09,2026 FIFA World Cup qualification,DR Congo,1-0,1,0,Togo,"Kinshasa, DR Congo",DR Congo
2024-06-09,2026 FIFA World Cup qualification,Barbados,1-3,1,3,Haiti,"Wildey Turf, Wildey",Haiti
2024-06-09,2026 FIFA World Cup qualification,Namibia,0-0,0,0,Tunisia,"Johannesburg, South Africa",Draw
2024-06-09,2026 FIFA World Cup qualification,Mauritania,0-1,0,1,Senegal,"Nouakchott, Mauritania",Senegal
2024-06-09,2026 FIFA World Cup qualification,Montserrat,1-3,1,3,Panama,"Managua, Nicaragua",Panama
2024-06-10,2026 FIFA World Cup qualification,Kenya,0-0,0,0,Ivory Coast,"Lilongwe, Malawi",Draw
2024-06-10,2026 FIFA World Cup qualification,Uganda,1-2,1,2,Algeria,"Kampala, Uganda",Algeria
2024-06-10,2026 FIFA World Cup qualification,Guinea-Bissau,1-1,1,1,Egypt,"Bissau, Guinea-Bissau",Draw
2024-06-10,2026 FIFA World Cup qualification,Ghana,4-3,4,3,Central African Republic,"Kumasi, Ghana",Ghana
2024-06-11,2027 FIFA World Cup qualification,Qatar,2-1,2,1,India,"Al Rayyan, Qatar",Qatar
2024-06-11,2028 FIFA World Cup qualification,South Korea,1-0,1,0,China,"Seoul, South Korea",South Korea
2024-06-11,2029 FIFA World Cup qualification,Iraq,3-1,3,1,Vietnam,"Basra, Iraq",Iraq
2024-06-11,2030 FIFA World Cup qualification,South Africa,3-1,3,1,Zimbabwe,"Bloemfontein, South Africa",South Africa
2024-06-11,2031 FIFA World Cup qualification,Iran,0-0,0,0,Uzbekistan,"Azadi Stadium, Tehran",Draw
2024-06-11,2032 FIFA World Cup qualification,Australia,5-0,5,0,Palestine,"Perth, Australia",Australia
2024-06-11,2033 FIFA World Cup qualification,Congo,0-6,0,6,Morocco,"Agadir, Morocco",Morocco
2024-06-11,2034 FIFA World Cup qualification,Saudi Arabia,1-2,1,2,Jordan,"Riyadh, Saudi Arabia",Jordan
2024-09-05,2035 FIFA World Cup qualification,South Korea,0-0,0,0,Palestine,"Seoul, South Korea",Draw
2024-09-05,2036 FIFA World Cup qualification,Argentina,3-0,3,0,Chile,"Estadio Mas Monumental, Buenos Aires",Argentina
2024-09-05,2037 FIFA World Cup qualification,Iraq,1-0,1,0,Oman,"Basra, Iraq",Iraq
2024-09-05,2038 FIFA World Cup qualification,Iran,1-0,1,0,Kyrgyzstan,"Fooladshahr Stadium, Fooladshahr",Iran
2024-09-05,2039 FIFA World Cup qualification,Uzbekistan,1-0,1,0,North Korea,"Tashkent, Uzbekistan",Uzbekistan
2024-09-05,2040 FIFA World Cup qualification,Australia,0-1,0,1,Bahrain,"Gold Coast, Australia",Bahrain
2024-09-05,2041 FIFA World Cup qualification,Qatar,1-3,1,3,United Arab Emirates,"Al Rayyan, Qatar",United Arab Emirates
2024-09-05,2042 FIFA World Cup qualification,Japan,7-0,7,0,China,"Saitama, Japan",Japan
2024-09-05,2043 FIFA World Cup qualification,Saudi Arabia,1-1,1,1,Indonesia,"Jeddah, Saudi Arabia",Draw
2024-09-05,2044 FIFA World Cup qualification,Jordan,1-1,1,1,Kuwait,"Amman, Jordan",Draw
2024-09-06,2045 FIFA World Cup qualification,Brazil,1-0,1,0,Ecuador,"Estadio Couto Pereira, Curitiba",Brazil
2024-09-06,2026 FIFA World Cup qualification,Peru,1-1,1,1,Colombia,"Estadio Nacional, Lima",Draw
2024-09-06,2026 FIFA World Cup qualification,Uruguay,0-0,0,0,Paraguay,"Estadio Centenario, Montevideo",Draw
2024-09-10,2026 FIFA World Cup qualification,Oman,1-3,1,3,South Korea,"Muscat, Oman",South Korea
2024-09-10,2026 FIFA World Cup qualification,Colombia,2-1,2,1,Argentina,"Estadio Metropolitano, Barranquilla",Colombia
2024-09-10,2026 FIFA World Cup qualification,Ecuador,1-0,1,0,Peru,"Estadio Rodrigo Paz Delgado, Quito",Ecuador
2024-09-10,2026 FIFA World Cup qualification,Kuwait,0-0,0,0,Iraq,"Kuwait City, Kuwait",Draw
2024-09-10,2026 FIFA World Cup qualification,Paraguay,1-0,1,0,Brazil,"Estadio Defensores del Chaco, Asuncion",Paraguay
2024-09-10,2027 FIFA World Cup qualification,United Arab Emirates,0-1,0,1,Iran,"Hazza bin Zayed Stadium, Al-Ain",Iran
2024-09-10,2028 FIFA World Cup qualification,Kyrgyzstan,2-3,2,3,Uzbekistan,"Bishkek, Kyrgyzstan",Uzbekistan
2024-09-10,2029 FIFA World Cup qualification,Indonesia,0-0,0,0,Australia,"Jakarta, Indonesia",Draw
2024-09-10,2030 FIFA World Cup qualification,North Korea,2-2,2,2,Qatar,"Vientiane, Laos",Draw
2024-09-10,2031 FIFA World Cup qualification,Venezuela,0-0,0,0,Uruguay,"Maturin, Venezuela",Draw
2024-09-10,2032 FIFA World Cup qualification,Bahrain,0-5,0,5,Japan,"Riffa, Bahrain",Japan
2024-09-10,2033 FIFA World Cup qualification,China,1-2,1,2,Saudi Arabia,"Dalian, China",Saudi Arabia
2024-09-10,2034 FIFA World Cup qualification,Palestine,1-3,1,3,Jordan,"Kuala Lumpur, Malaysia",Jordan
2024-10-10,2035 FIFA World Cup qualification,Jordan,0-2,0,2,South Korea,"Amman, Jordan",South Korea
2024-10-10,2036 FIFA World Cup qualification,Chile,1-2,1,2,Brazil,"Estadio Nacional Julio Martinez Pradanos, Santiago",Brazil
2024-10-10,2037 FIFA World Cup qualification,Bolivia,1-0,1,0,Colombia,"Estadio Municipal de El Alto, El Alto",Bolivia
2024-10-10,2038 FIFA World Cup qualification,Ecuador,0-0,0,0,Paraguay,"Estadio Rodrigo Paz Delgado, Quito",Draw
2024-10-10,2039 FIFA World Cup qualification,Iraq,1-0,1,0,Palestine,"Basra, Iraq",Iraq
2024-10-10,2040 FIFA World Cup qualification,Venezuela,1-1,1,1,Argentina,"Estadio Monumental, Maturin",Draw
2024-10-10,2041 FIFA World Cup qualification,Uzbekistan,0-0,0,0,Iran,"Milliy Stadium, Tashkent",Draw
2024-10-10,2042 FIFA World Cup qualification,Australia,3-1,3,1,China,"Adelaide, Australia",Australia
2024-10-10,2043 FIFA World Cup qualification,Qatar,3-1,3,1,Kyrgyzstan,"Doha, Qatar",Qatar
2024-10-10,2044 FIFA World Cup qualification,Saudi Arabia,0-2,0,2,Japan,"Jeddah, Saudi Arabia",Japan
2024-10-11,2045 FIFA World Cup qualification,New Zealand,3-0,3,0,Tahiti,"VFF Freshwater Stadium, Port Vila",New Zealand
2024-10-11,2046 FIFA World Cup qualification,Peru,1-0,1,0,Uruguay,"Lima, Peru",Peru
2024-10-15,2047 FIFA World Cup qualification,South Korea,3-2,3,2,Iraq,"Yongin, South Korea",South Korea
2024-10-15,2048 FIFA World Cup qualification,Brazil,4-0,4,0,Peru,"Estadio Nacional Mane Garrincha, Brasilia",Brazil
2024-10-15,2049 FIFA World Cup qualification,Argentina,6-0,6,0,Bolivia,"Mas Monumental, Buenos Aires",Argentina
2024-10-15,2050 FIFA World Cup qualification,Colombia,4-0,4,0,Chile,"Estadio Metropolitano, Barranquilla",Colombia
2024-10-15,2051 FIFA World Cup qualification,Paraguay,2-1,2,1,Venezuela,"Estadio Defensores del Chaco, Asuncion",Paraguay
2024-10-15,2052 FIFA World Cup qualification,Iran,4-1,4,1,Qatar,"Rashid Stadium, Dubai",Iran
2024-10-15,2053 FIFA World Cup qualification,Uzbekistan,1-0,1,0,United Arab Emirates,"Tashkent, Uzbekistan",Uzbekistan
2024-10-15,2054 FIFA World Cup qualification,Japan,1-1,1,1,Australia,"Saitama, Japan",Draw
2024-10-15,2055 FIFA World Cup qualification,Uruguay,0-0,0,0,Ecuador,"Montevideo, Uruguay",Draw
2024-10-15,2056 FIFA World Cup qualification,Saudi Arabia,0-0,0,0,Bahrain,"Jeddah, Saudi Arabia",Draw
2024-10-15,2057 FIFA World Cup qualification,Jordan,4-0,4,0,Oman,"Amman, Jordan",Jordan
2024-11-14,2058 FIFA World Cup qualification,Kuwait,1-3,1,3,South Korea,"Kuwait City, Kuwait",South Korea
2024-11-14,2059 FIFA World Cup qualification,Ecuador,4-0,4,0,Bolivia,"Estadio Monumental Isidro Romero Carbo, Guayaquil",Ecuador
2024-11-14,2060 FIFA World Cup qualification,Iraq,0-0,0,0,Jordan,"Basra, Iraq",Draw
2024-11-14,2061 FIFA World Cup qualification,Paraguay,2-1,2,1,Argentina,"Estadio Defensores del Chaco, Asuncion",Paraguay
2024-11-14,2062 FIFA World Cup qualification,Venezuela,1-1,1,1,Brazil,"Estadio Monumental, Maturin",Draw
2024-11-14,2063 FIFA World Cup qualification,North Korea,2-3,2,3,Iran,"New Laos National Stadium, Vientiane",Iran
2024-11-14,2064 FIFA World Cup qualification,Qatar,3-2,3,2,Uzbekistan,"Doha, Qatar",Qatar
2024-11-14,2065 FIFA World Cup qualification,Australia,0-0,0,0,Saudi Arabia,"Melbourne, Australia",Draw
2024-11-15,2066 FIFA World Cup qualification,New Zealand,8-1,8,1,Vanuatu,"Waikato Stadium, Hamilton",New Zealand
2024-11-15,2067 FIFA World Cup qualification,Uruguay,3-2,3,2,Colombia,"Montevideo, Uruguay",Uruguay
2024-11-15,2068 FIFA World Cup qualification,Indonesia,0-4,0,4,Japan,"Jakarta, Indonesia",Japan
2024-11-18,2069 FIFA World Cup qualification,New Zealand,8-0,8,0,Samoa,"Mount Smart Stadium, Auckland",New Zealand
2024-11-19,2070 FIFA World Cup qualification,Palestine,1-1,1,1,South Korea,"Amman, Jordan",Draw
2024-11-19,2071 FIFA World Cup qualification,Argentina,1-0,1,0,Peru,"La Bombonera, Buenos Aires",Argentina
2024-11-19,2072 FIFA World Cup qualification,Bolivia,2-2,2,2,Paraguay,"Estadio Municipal de El Alto, El Alto",Draw
2024-11-19,2073 FIFA World Cup qualification,Brazil,1-1,1,1,Uruguay,"Arena Fonte Nova, Salvador",Draw
2024-11-19,2074 FIFA World Cup qualification,Colombia,0-1,0,1,Ecuador,"Estadio Metropolitano, Barranquilla",Ecuador
2024-11-19,2075 FIFA World Cup qualification,Oman,0-1,0,1,Iraq,"Muscat, Oman",Iraq
2024-11-19,2076 FIFA World Cup qualification,Kyrgyzstan,2-3,2,3,Iran,"Dolen Omurzakov Stadium, Bishkek",Iran
2024-11-19,2077 FIFA World Cup qualification,North Korea,0-1,0,1,Uzbekistan,"Vientiane, Laos",Uzbekistan
2024-11-19,2078 FIFA World Cup qualification,Bahrain,2-2,2,2,Australia,"Riffa, Bahrain",Draw
2024-11-19,2079 FIFA World Cup qualification,United Arab Emirates,5-0,5,0,Qatar,"Abu Dhabi, United Arab Emirates",United Arab Emirates
2024-11-19,2080 FIFA World Cup qualification,China,1-3,1,3,Japan,"Xiamen, China",Japan
2024-11-19,2081 FIFA World Cup qualification,Indonesia,2-0,2,0,Saudi Arabia,"Jakarta, Indonesia",Indonesia
2024-11-19,2082 FIFA World Cup qualification,Kuwait,1-1,1,1,Jordan,"Kuwait City, Kuwait",Draw
2025-03-19,2083 FIFA World Cup qualification,Liberia,0-1,0,1,Tunisia,"Paynesville, Liberia",Tunisia
2025-03-20,2084 FIFA World Cup qualification,Cape Verde,1-0,1,0,Mauritius,"Praia, Cape Verde",Cape Verde
2025-03-20,2085 FIFA World Cup qualification,South Korea,1-1,1,1,Oman,"Goyang, South Korea",Draw
2025-03-20,2086 FIFA World Cup qualification,Brazil,2-1,2,1,Colombia,"Estadio Nacional Mane Garrincha, Brasilia",Brazil
2025-03-20,2087 FIFA World Cup qualification,Paraguay,1-0,1,0,Chile,"Estadio Defensores del Chaco, Asuncion",Paraguay
2025-03-20,2088 FIFA World Cup qualification,Iraq,2-2,2,2,Kuwait,"Basra, Iraq",Draw
2025-03-20,2089 FIFA World Cup qualification,Iran,2-0,2,0,United Arab Emirates,"Azadi Stadium, Tehran",Iran
2025-03-20,2090 FIFA World Cup qualification,Uzbekistan,1-0,1,0,Kyrgyzstan,"Tashkent, Uzbekistan",Uzbekistan
2025-03-20,2091 FIFA World Cup qualification,Australia,5-1,5,1,Indonesia,"Sydney, Australia",Australia
2025-03-20,2092 FIFA World Cup qualification,Qatar,5-1,5,1,North Korea,"Doha, Qatar",Qatar
2025-03-20,2093 FIFA World Cup qualification,Saudi Arabia,1-0,1,0,China,"Riyadh, Saudi Arabia",Saudi Arabia
2025-03-20,2094 FIFA World Cup qualification,Jordan,3-1,3,1,Palestine,"Amman, Jordan",Jordan
2025-03-20,2095 FIFA World Cup qualification,Japan,2-0,2,0,Bahrain,"Saitama, Japan",Japan
2025-03-21,2096 FIFA World Cup qualification,Burundi,0-1,0,1,Ivory Coast,"Meknes, Morocco",Ivory Coast
2025-03-21,2097 FIFA World Cup qualification,DR Congo,1-0,1,0,South Sudan,"Kinshasa, DR Congo",DR Congo
2025-03-21,2098 FIFA World Cup qualification,Botswana,1-3,1,3,Algeria,"Francistown, Botswana",Algeria
2025-03-21,2026 FIFA World Cup qualification,Ethiopia,0-2,0,2,Egypt,"Casablanca, Morocco",Egypt
